Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Migration of a legacy plant lubrication system to SOA,P. Nappey; C. El Kaed; A. W. Colombo; J. Eliasson; A. Kruglyak; R. Kyusakov; C. Hübner; T. Bangemann; O. Carlsson,"Schneider Electric, France; Schneider Electric, France; Schneider Electric, France; Luleå University of Technology, Sweden; Luleå University of Technology, Sweden; Luleå University of Technology, Sweden; ifak e.V., Germany; ifak e.V., Germany; Midroc, Sweden",IECON 2013 - 39th Annual Conference of the IEEE Industrial Electronics Society,,2013,,,7440,7445,"Supervision and control systems are being deployed in industrial environments such as mining plants and manufacturing facilities to ensure a continuous and effective production at a minimum cost. Such systems monitor a whole range of devices and collect their data for several purposes like maintenance and control operations. At the same time, Service Oriented Architecture (SOA) is getting more popular than ever in most application domains, from IT to device level, and particularly for those industries whose continuous efforts to increase the overall plant and equipment effectiveness lead to new requirements on systems openness, integration, availability, maintainability and performance. This paper presents how a legacy control and monitoring system could migrate to SOA, the architecture principles and the main benefits and limitations based on results validated on a pelletizing plant lubrication system.",1553-572X,978-1-4799-0224,10.1109/IECON.2013.6700371,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6700371,,Service-oriented architecture;Protocols;Lubrication;Sensors;Monitoring;Data models;Prototypes,control engineering computing;lubrication;maintenance engineering;metallurgical industries;moulding;process control;production engineering computing;SCADA systems;service-oriented architecture,legacy plant lubrication system migration;SOA;supervision system;industrial environments;mining plants;manufacturing facilities;continuous production;effective production;device monitoring;maintenance operations;control operations;service oriented architecture;overall plant effectiveness;equipment effectiveness;systems openness;systems integration;systems availability;systems maintainability;systems performance;legacy control system;monitoring system;pelletizing plant lubrication system,,5,22,,,,,,IEEE,IEEE Conferences
A version-based transformation proxy for service evolution,K. Chiponga; P. Tarwireyi; M. O. Adigun,"Department of Computer Science, University of Zululand KwaDlangezwa 3886, South Africa; Department of Computer Science, University of Zululand KwaDlangezwa 3886, South Africa; Department of Computer Science, University of Zululand KwaDlangezwa 3886, South Africa",2014 IEEE 6th International Conference on Adaptive Science & Technology (ICAST),,2014,,,1,5,"Service Oriented Computing (SOC) has emerged as a new computing paradigm that has services as the building blocks to distributed applications. SOC supports rapid development, easy composition and low cost production of distributed applications as services, promoting interoperability. Interoperable applications are however not under the control of a single administration hence implementation detail is abstracted from other administrations. Following the web services architectural model, a service provider may not be in full view of the service requestors consuming his offered services, hence a mechanism to support the existing service requestors in the event of changes made to a service, need to be put in place. This will help to reduce the full impact of unannounced service changes on the service requestors. This paper presents the design and implementation of an approach to gracefully change a service from one version to the next while maintaining support for the existing services. The paper introduces a proxy-based service transformation model to convert messages sent between any service provider-requestor pair to match the version implementation of the requestor. The feasibility and applicability of this model is demonstrated through a prototype.",2326-9448;2326-9413,978-1-4799-4998-4978-1-4799-4999,10.1109/ICASTECH.2014.7068123,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7068123,webservices;evolution;proxy;maintenance;versioning,Contracts;Simple object access protocol;Maintenance engineering;Service-oriented architecture;XML;Prototypes,open systems;service-oriented architecture;software maintenance;Web services,version-based transformation proxy;service evolution;service oriented computing;SOC;distributed application;interoperability;Web service architectural model;maintenance activity,,,16,,,,,,IEEE,IEEE Conferences
SOA Service Design and Governance: Experience at Credit Suisse,B. Liver; K. Tice,NA; NA,2011 IEEE World Congress on Services,,2011,,,81,82,"The Service-Oriented Architecture (SOA) style is instrumental for Credit Suisse to manage the complexity of its very large application landscape. This paper briefly outlines how the Enterprise Integration Architecture governs the service landscape and continuously develops the Service-Oriented Architecture and its supporting middleware and tools. A brief summary of the current state of SOA at Credit Suisse is provided, which includes examples illustrating the necessity of strong and continuous governance and which sketches out some key topics for further development.",2378-3818,978-1-4577-0879-4978-0-7695-4461,10.1109/SERVICES.2011.73,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6012657,software components;Service-Oriented Architecture (SOA);managed evolution;service design;governance,Service oriented architecture;Contracts;Computer architecture;Banking;Best practices,middleware;service-oriented architecture,service-oriented architecture;credit suisse;enterprise integration architecture;service landscape;middleware;SOA,,1,4,,,,,,IEEE,IEEE Conferences
SOA-Based SDP for Complex Telco Applications Delivery - A Generic Approach to Capacities' and Requirements' Analysis,N. Kryvinska; C. Strauss; M. Polaschek,NA; NA; NA,2011 International Conference on Emerging Intelligent Data and Web Technologies,,2011,,,153,158,"Nowadays, Telecom service providers work in highly varied environment that includes cable television operators, Internet/Web-2.0 suppliers, and mobile/wireless services providers. Besides, end-user service personalization and short time-to-market are crucial characteristics to succeed. Thus, the main challenge for service providers is the implementation of a technical infrastructure that makes the information system simpler, more flexible, and open, while providing secure and reliable access to enterprise resources. Thus, we perform in this paper an analysis of capacities and requirements of a new platform, considering existing service providers' enterprise network architecture and future growth. Further, we (i) analyze the evolution of approaches and strategies in the Telco&amp;IT landscape, also (ii) we categorize the requirements to service platforms and create an appropriate taxonomy. Finally, we examine the key features of a new architectural design based upon the concepts and components of the platform.",,978-1-4577-0840-4978-0-7695-4456,10.1109/EIDWT.2011.32,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6076436,Service Delivery Platform (SDP);Service Oriented Architecture (SOA);Telecom Services;Telecom Service Providers,Service oriented architecture;Business;Routing;Telecommunications;Information systems;Gold,cable television;customer services;mobile computing;security of data;service-oriented architecture;telecommunication industry;Web services,SOA-based SDP;telecom service providers;cable television operators;Web 2.0 supplier;mobile service provider;end-user service personalization;information system;enterprise resources;enterprise network architecture;Telco and IT landscape;complex telco application delivery;requirement analysis;capacity analysis;Internet;wireless service provider;service delivery platform,,,24,,,,,,IEEE,IEEE Conferences
The WSDarwin Toolkit for Service-Client Evolution,M. Fokaefs; E. Stroulia,NA; NA,2014 IEEE International Conference on Web Services,,2014,,,716,719,"As primarily modular and distributed architectures, service-oriented architectures may impose new challenges in software evolution. Since web services evolve independently, this may cause disruptions to the proper function of consuming software. In this paper, we present \wsd, an Eclipse plug-in to support the evolution of service clients, including (a) identifying the differences between two service versions, (b) automatically adapting the client application to the new version, and (c) testing the client to confirm it functions properly.",,978-1-4799-5054-6978-1-4799-5053,10.1109/ICWS.2014.113,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6928974,,Web services;Java;XML;Testing;Protocols;Interoperability,client-server systems;service-oriented architecture;Web services,WSDarwin toolkit;service-client evolution;distributed architectures;service-oriented architectures;software evolution;Web services,,1,6,,,,,,IEEE,IEEE Conferences
The evolution of distributed systems towards microservices architecture,T. Salah; M. Jamal Zemerly; Chan Yeob Yeun; M. Al-Qutayri; Y. Al-Hammadi,"Department of Electrical and Computer Engineering, Khalifa University of Science Technology and Research, PO Box 127788 Abu Dhabi, UAE; Department of Electrical and Computer Engineering, Khalifa University of Science Technology and Research, PO Box 127788 Abu Dhabi, UAE; Department of Electrical and Computer Engineering, Khalifa University of Science Technology and Research, PO Box 127788 Abu Dhabi, UAE; Department of Electrical and Computer Engineering, Khalifa University of Science Technology and Research, PO Box 127788 Abu Dhabi, UAE; Department of Electrical and Computer Engineering, Khalifa University of Science Technology and Research, PO Box 127788 Abu Dhabi, UAE",2016 11th International Conference for Internet Technology and Secured Transactions (ICITST),,2016,,,318,325,"Applications developed to fulfil distributed systems needs have been growing rapidly. Major evolutions have happened beginning with basic architecture relying on initiated request by a client to a processing side referred to as the server. Such architectures were not enough to cope up with the fast ever-increasing number of requests and need to utilize network bandwidth. Mobile agents attempted to overcome such drawbacks but did cope up for so long with the growing technology platforms. Service Oriented Architecture (SOA) then evolved to be one of the most successful representations of the client-server architecture with an added business value that provides reusable and loosely coupled services. SOA did not meet customers and business expectations as it was still relying on monolithic systems. Resilience, scalability, fast software delivery and the use of fewer resources are highly desirable features. Microservices architecture came to fulfil those expectations of system development, yet it comes with many challenges. This paper illustrates how distributed systems evolved from the traditional client-server model to the recently proposed microservices architecture. All architectures are reviewed containing brief definitions, some related work and reasoning of why they had to evolve. A feature comparison of all architectures is also provided.",,978-1-908320-73-5978-1-5090-4852,10.1109/ICITST.2016.7856721,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7856721,Distributed Systems;Microservices;Mobile Agents;Service Oriented Architecture,Computer architecture;Reliability;Semiconductor optical amplifiers;Databases;Lead,distributed processing;service-oriented architecture,service oriented architecture;client-server model;system development;microservices architecture;distributed systems evolution,,5,59,,,,,,IEEE,IEEE Conferences
Supporting Service-Oriented Design with Metrics,H. Hofmeister; G. Wirtz,NA; NA,2008 12th International IEEE Enterprise Distributed Object Computing Conference,,2008,,,191,200,"The service-oriented architectural style is widely perceived today. However, service orientation is a very general concept and its application in real-life situations is somewhat ambiguous. This is partially due to the fact that service-oriented principles are subject to interpretation rather than elements of the style.In this paper we propose a set of design metrics for service-oriented design. Based on an established metric for the coupling of component-based systems we introduce a complexity metric by the means of service coupling. We argue that service aggregators and the centralization of a system's control flow is appropriate to address a system's complexity. In order to approach an objective design that incorporates these principles, we introduce four metrics for the analysis of how a system handles its complexity with service-oriented means. Finally, we apply the presented metrics to an enterprise-scale real-life case study that we have conducted.",1541-7719,978-0-7695-3373,10.1109/EDOC.2008.13,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4634770,SOA;metrics;control centralization;service aggregation;modifiability,Couplings;Complexity theory;Service oriented architecture;Business;Organizations;Size measurement;Process control,software architecture;software metrics,service-oriented design;service-oriented architectural style;component-based systems;complexity metric;service coupling,,6,22,,,,,,IEEE,IEEE Conferences
Theoretical foundation to evaluate the change measures for an effective web service change management,M. Thirumaran; M. Jannani,"Department of CSE, Pondicherry Engineering College, Pondicherry, India; Department of CSE, Pondicherry Engineering College, Pondicherry, India",Proceedings of IEEE International Conference on Computer Communication and Systems ICCCS14,,2014,,,226,232,"With the advent in the need for a cost effective and efficient solution which supports the evolution and enhancement of the Enterprise Information Systems, the adoption of Service Oriented Architectures (SOAs) for the automation of business processes and the integration of IT systems is increasing. These SOAs rely on web service standards for the implementation of service invocations across machine boundaries. Web services are software systems designed to support interoperable machine-to-machine interaction over a network. This interoperability is gained through a set of XML-based open standards. These standards provide a common approach for defining, publishing, and using web services. However after a product is introduced in the market, its successful growth against the competitors depends critically on the company's ability to rapidly improve and extend its product in response to customer feedback. These changes must be reflected accordingly in the web service without injecting any disputes. Hence an effective web service Change Management with appropriate change measures is very essential. This paper focuses on such change measures for an effective change management.",,978-1-4799-3672-4978-1-4799-3671,10.1109/ICCCS.2014.7068197,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7068197,Web Service Change Management;Change Measures;Service Oriented Architecture;Web Services,Business;Credit cards;Service-oriented architecture;Standards;Computers;Calendars,business data processing;information systems;management of change;service-oriented architecture;Web services;XML,Web service change management;enterprise information systems;service oriented architectures;SOAs;business process automation;IT system integration;Web service standards;service invocations;software systems;interoperable machine-to-machine interaction;XML-based open standards;customer feedback,,,10,,,,,,IEEE,IEEE Conferences
Modeling Method Research of Scientific and Technical Resources Database System Based on Service Oriented Architecture,X. Liu; C. Hu; G. Feng; W. Jin,NA; NA; NA; NA,2010 WASE International Conference on Information Engineering,,2010,2,,76,79,"How to make most use of existing information systems and set up low cost, open and flexible integration system have already become the key factor to constructing scientific and technical resources database system. Service oriented architecture (SOA) provides a solution to improve the reusability, scalability and efficiency in software development. This paper uses the SOA principle, through the research on SOAD modeling method of science and technology resources database system, and the optimal system modeling is found. The practice proved the system model has better flexibility and maintainability.",,978-1-4244-7507-0978-1-4244-7506,10.1109/ICIE.2010.114,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5571248,SOA;SOAD;model;service,Business;Object oriented modeling;Service oriented architecture;Database systems;Analytical models;Software;Couplings,database management systems;scientific information systems;software architecture;software maintenance;software reusability,modeling method research;scientific resources database system;technical resources database system;service oriented architecture;information systems;software reusability;software development;SOAD modeling method;optimal system modeling,,,6,,,,,,IEEE,IEEE Conferences
Keynote: 10 Years of MESOCA,S. Tilley,NA,2016 IEEE 10th International Symposium on the Maintenance and Evolution of Service-Oriented and Cloud-Based Environments (MESOCA),,2016,,,viii,viii,"Summary form only given. The MESO(C)A series of events began with a working session at ICSM 2007 in Paris. The original focus was the maintenance and evolution of SOA-based systems. Five years later, at ICSM 2011 in Williamsburg, VA, the scope was expanded to include cloud-based environments. This talk summarizes the key research themes that have emerged over the last 10 years. The talk also outlines some of the challenges facing the community in the coming years. Many of the core activities related to system maintenance and evolution are timeless and will undoubtedly continue to be important topics in the future. However, the rapid adoption of new computing ecosystems such as mobile apps and new technical advances in areas such as big data will qualitatively and quantitatively affect both the problem space and the solution space of MESOCA as it enters its second decade.",2326-6937,978-1-5090-3852-7978-1-5090-3853,10.1109/MESOCA.2016.6,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7780129,,,Big Data;cloud computing;mobile computing;service-oriented architecture,MESOCA;SOA-based systems;cloud-based environments;computing ecosystems;mobile apps;Big Data,,,,,,,,,IEEE,IEEE Conferences
Cohesion Metrics for Predicting Maintainability of Service-Oriented Software,M. Perepletchikov; C. Ryan; K. Frampton,RMIT University; RMIT University; RMIT University,Seventh International Conference on Quality Software (QSIC 2007),,2007,,,328,335,"Although service-oriented computing (SOC) is a promising paradigm for developing enterprise software systems, existing research mostly assumes the existence of black box services with little attention given to the structural characteristics of the implementing software, potentially resulting in poor system maintainability. Whilst there has been some preliminary work examining coupling in a service-oriented context, there has to date been no such work on the structural property of cohesion. Consequently, this paper extends existing notions of cohesion in OO and procedural design in order to account for the unique characteristics of SOC, allowing the derivation of assumptions linking cohesion to the maintainability of service-oriented software. From these assumptions, a set of metrics are derived to quantify the degree of cohesion of service oriented design constructs. Such design level metrics are valuable because they allow the prediction of maintainability early in the SDLC.",1550-6002;2332-662X,0-7695-3035-4978-0-7695-3035,10.1109/QSIC.2007.4385516,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4385516,,Software maintenance;Service oriented architecture;Software systems;Stability analysis;Software measurement;Software quality;Software testing;Software design;Application software;Computer science,object-oriented programming;software architecture;software maintenance;software metrics,cohesion metrics;service-oriented software;service-oriented computing;enterprise software systems;black box services;system maintainability;service oriented design,,32,21,,,,,,IEEE,IEEE Conferences
Evolution approaches towards a Service oriented architecture,S. Ali; S. Abdelhak-Djamel,"Department of computer science, 8 May 1945 University, LabSTIC Laboratory, Guelma, Algeria; LIRMM/CNRS Laboratory, Montpellier2 University, Montpellier, France",2012 International Conference on Multimedia Computing and Systems,,2012,,,687,692,"Over a decade, Service-oriented architectures (SOA) have seen an increasing interest of both academia and industry communities. This interest is associated with an enthusiasm of companies in different sectors and sizes for the adoption of this new paradigm due to its economic and technological benefits. SOA is a very effective response to the problems faced by companies in terms of reusability, interoperability and reduce coupling between systems that implement their information systems. To exploit these advantages many organizations have decided to evolve their legacy systems (LS) towards this architecture. Migration to SOA has become one of the most important modernizations technic of LS. It helps organizations, on the one hand, to reuse their existing LS by giving them a new life, and also to enjoy the benefits of service-based systems. In the literature, several approaches exist for evolving LS towards SOA. Through this paper, we present a survey of these approaches. Then we discuss several existing classifications of the modernization approaches to SOA, so that at the end we propose our own classification after having discussed the similar works.",,978-1-4673-1520-3978-1-4673-1518-0978-1-4673-1519,10.1109/ICMCS.2012.6320243,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6320243,Service Oriented Architecure;Evolution;Migration;Integration;Legacy System,Computer architecture;Visualization;Educational institutions;Software;Unified modeling language;Semiconductor optical amplifiers,service-oriented architecture;software maintenance,service oriented architecture;SOA;reusability;interoperability;information system;legacy system;service based system,,,23,,,,,,IEEE,IEEE Conferences
FASOAD: A Framework for Agile Service-Oriented Architectures Development,H. Chehili; L. Seinturier; M. Boufaida,NA; NA; NA,2013 24th International Workshop on Database and Expert Systems Applications,,2013,,,222,226,"The development of Service Oriented Architectures (SOA) requires modeling a service development process that covers the entire lifecycle of such architectures and allows an iterative and incremental development. In addition, the change of either environment execution conditions, or requirements, during the development may require the evolution of the process. In this paper, we present a framework named FASOAD that addresses this issue. FASOAD implements the phases of an agile approach for SOA development as a component assembly model. Based on the Service Component Architecture (SCA) model, this framework allows developing SOA projects and enforcing the agile methods principles. In addition, we address the case of the dynamic reconfiguration of service-oriented architectures in presence of an evolution of their development process. A case study is presented to illustrate the approach.",1529-4188;2378-3915,978-1-4799-2138-6978-0-7695-5070,10.1109/DEXA.2013.28,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6621375,SOA;Agile;Framework;SCA;model;Component,Business;Service-oriented architecture;Assembly;Semiconductor optical amplifiers;Computer architecture;Monitoring,service-oriented architecture;software prototyping,FASOAD;agile service-oriented architectures development;iterative development;incremental development;environment execution conditions;SOA development;component assembly architecture model;SCA model;dynamic reconfiguration,,1,19,,,,,,IEEE,IEEE Conferences
Towards the understanding and evolution of monolithic applications as microservices,D. Escobar; D. Cárdenas; R. Amarillo; E. Castro; K. Garcés; C. Parra; R. Casallas,"Universidad de Los Andes, School of Engineering, Department of Systems and Computing Engineering, Bogotá, Colombia; Universidad de Los Andes, School of Engineering, Department of Systems and Computing Engineering, Bogotá, Colombia; Universidad de Los Andes, School of Engineering, Department of Systems and Computing Engineering, Bogotá, Colombia; Universidad de Los Andes, School of Engineering, Department of Systems and Computing Engineering, Bogotá, Colombia; Universidad de Los Andes, School of Engineering, Department of Systems and Computing Engineering, Bogotá, Colombia; Universidad de Los Andes, School of Engineering, Department of Systems and Computing Engineering, Bogotá, Colombia; Universidad de Los Andes, School of Engineering, Department of Systems and Computing Engineering, Bogotá, Colombia",2016 XLII Latin American Computing Conference (CLEI),,2016,,,1,11,"Nowadays, software development teams face the challenge of maintenance and evolution of large applications. This is known as modernization and comprises a process of understanding the existing application, and a process of transforming from the as-is state to the to-be state. In this article, we present an approach to modernize legacy applications into microservices. We propose a model-centered process to analyze and visualize the current structure and dependencies between the business layer and the data layer. Furthermore, we propose a modularization into clusters and microservices using four different diagrams. To validate our approach we have analyzed a JEE application with over 74566 LoC. The results show that the understanding is greatly improved through the diagrams proposed, and the modularization proposed constitutes the first step towards the automated modernization of the application.",,978-1-5090-1633-4978-1-5090-1634,10.1109/CLEI.2016.7833410,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7833410,Software Architecture;Software Reengineering;Modernization;Model-Driven Development;Microservices,Java;Business;Clustering algorithms;Face;Data visualization;Data models;Computer architecture,Java;software development management;software maintenance;software process improvement;team working,monolithic applications;microservices;software development teams;software maintenance;software application evolution;legacy application modernization;model-centered process;business layer;data layer;modularization;JEE application;LoC;automated modernization;Java Enterprise Edition,,2,21,,,,,,IEEE,IEEE Conferences
